epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,0.9332872033119202,0.8032311201095581,0.9230769230769231,0.9238160603980783,0.9458601589312872,0.957219938198549
10,1.048158884048462,0.706024706363678,0.9423076923076923,0.9368565545641729,0.9773352398509093,0.9743977756454978
15,0.8239417672157288,0.37967485189437866,0.9532967032967034,0.9643102264927934,0.9570589538427611,0.9918810631031951
20,1.468298316001892,0.5030630826950073,0.9175824175824175,0.9601921757035004,0.9481995740176424,0.9896153743574934
25,1.1970990896224976,0.2665204703807831,0.9368131868131868,0.9746053534660261,0.9641370301919393,0.9975477883169341
30,1.2249903678894043,0.17553353309631348,0.9340659340659341,0.9842141386410432,0.9493627980402077,0.9977482043207635
35,1.2138794660568237,0.21573752164840698,0.9340659340659341,0.9828414550446122,0.958305240627643,0.9954219898055746
40,0.74456787109375,0.2769581079483032,0.9505494505494505,0.9773507206588882,0.9558532204470023,0.9944796297725675
45,0.9519119262695312,0.2695397138595581,0.9368131868131868,0.9773507206588882,0.9820032651184434,0.9959430237039016
50,1.0825026035308838,0.2923932373523712,0.9423076923076923,0.9746053534660261,0.9686073596532776,0.9950728865377939
