epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,1.1208338737487793,0.6991672515869141,0.9285714285714286,0.9334248455730954,0.9391483069721529,0.9659140273546449
10,2.056485176086426,0.650146484375,0.804945054945055,0.9341111873713109,0.9063298467569655,0.9799950058090348
15,1.3347830772399902,0.5378610491752625,0.9065934065934066,0.9498970487302677,0.944058076499674,0.9889188662519477
20,1.0692719221115112,0.20933686196804047,0.9368131868131868,0.9800960878517502,0.951380395090055,0.9960743558252226
25,1.8965977430343628,0.16457968950271606,0.9010989010989011,0.9842141386410432,0.9494565784057899,0.9984847123722546
30,1.0605627298355103,0.326621949672699,0.9313186813186813,0.9732326698695951,0.9430820907811153,0.9968871176823513
35,1.452105164527893,0.14972110092639923,0.9285714285714286,0.9890185312285518,0.9484687279128524,0.9942148321376055
40,1.4350639581680298,0.2729220390319824,0.9313186813186813,0.9807824296499656,0.9471806370570204,0.9973377879456029
45,2.9089627265930176,0.22397072613239288,0.8818681318681318,0.9835277968428278,0.9183607706483531,0.9971570884295501
50,1.2909868955612183,0.28822943568229675,0.9368131868131868,0.9780370624571036,0.9674097064815925,0.9978137014857109
