epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,0.7890204787254333,0.6840775012969971,0.9423076923076923,0.9320521619766644,0.9572626780722266,0.9769365852962089
10,2.109712600708008,0.3465556204319,0.9230769230769231,0.967741935483871,0.8849731970288895,0.9900690824505627
15,1.3415688276290894,0.3019995093345642,0.9423076923076923,0.9698009608785175,0.9464862953542968,0.9953393254850632
20,1.8859785795211792,0.3414855897426605,0.9230769230769231,0.9725463280713795,0.9389601949969058,0.9955831176770586
25,1.6562684774398804,0.2825624346733093,0.9258241758241759,0.9718599862731641,0.9558241709955322,0.9971544871957023
30,3.2001326084136963,0.27107664942741394,0.8846153846153846,0.9773507206588882,0.9180156855249106,0.9973412313731636
35,1.1991057395935059,0.4587843120098114,0.9505494505494505,0.9581331503088538,0.969421038691471,0.9943347003086108
40,2.185619831085205,0.07283519208431244,0.9175824175824175,0.9917638984214139,0.8938534319752123,0.9995740118157849
45,2.116572141647339,0.2979598045349121,0.8901098901098901,0.9773507206588882,0.9381250764966023,0.9962843472092066
50,1.9748876094818115,0.12130926549434662,0.9148351648351648,0.9890185312285518,0.9359164360383099,0.9991816338083941
