epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,0.5146470665931702,0.4238893985748291,0.9258241758241759,0.9540150995195608,0.9202949098175635,0.9588688569719134
10,0.4823628067970276,0.22822822630405426,0.9423076923076923,0.970487302676733,0.9418262018340057,0.9843739507692544
15,0.569598376750946,0.09453070163726807,0.9340659340659341,0.9869595058339052,0.9753276294424157,0.9967075115428331
20,0.6785079836845398,0.06380972266197205,0.9230769230769231,0.9917638984214139,0.9753115695492609,0.9988802872598023
25,0.4215500056743622,0.032384831458330154,0.9532967032967034,0.9951956074124915,0.9755587260320145,0.9994174385110429
30,0.41292035579681396,0.05881613865494728,0.945054945054945,0.9938229238160604,0.9722091283608041,0.9991754009268017
35,0.8704779744148254,0.21162402629852295,0.9010989010989011,0.9739190116678106,0.9504757657502644,0.9952941814782416
40,0.4914167523384094,0.05680663883686066,0.945054945054945,0.9903912148249828,0.9529788965229951,0.9982128074202293
45,0.47918564081192017,0.059330396354198456,0.9395604395604396,0.9910775566231984,0.9754291614579303,0.9988741293919422
50,0.4806005358695984,0.03611484542489052,0.9560439560439561,0.9958819492107069,0.9617739098147577,0.9991382111478337
