epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,1.3883488178253174,1.0975481271743774,0.8958904109589041,0.9237637362637363,0.9093145824938704,0.9762193296211865
10,2.2281956672668457,0.4703965187072754,0.863013698630137,0.9608516483516484,0.9292644232291584,0.9940699055877574
15,1.505601406097412,0.35514914989471436,0.9178082191780822,0.9684065934065934,0.9548969588143043,0.9951052527979514
20,2.1465814113616943,0.8139316439628601,0.8657534246575342,0.9320054945054945,0.9424695912348616,0.9771677573501478
25,0.9590021967887878,0.23261874914169312,0.9287671232876712,0.978021978021978,0.9736244104137819,0.9974443381922321
30,1.399253249168396,0.17706018686294556,0.9397260273972603,0.9821428571428571,0.9711975944997169,0.9982908033873141
35,1.0461686849594116,0.4304701089859009,0.9260273972602739,0.9642857142857143,0.9588642152765399,0.9934138478480691
40,1.761452078819275,0.20890796184539795,0.9287671232876712,0.9732142857142857,0.9271663124975181,0.9986030594352344
45,1.1070374250411987,0.11113637685775757,0.9397260273972603,0.9869505494505495,0.9508315217460649,0.9992845097186143
50,1.8517440557479858,0.21628838777542114,0.9123287671232877,0.9821428571428571,0.9313480692150446,0.9959297596260202
