epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,0.946811318397522,1.0277286767959595,0.521978021978022,0.5319148936170213,0.7229037378085617,0.7010584568514384
10,0.8826298713684082,0.9445802569389343,0.6236263736263736,0.5888812628689087,0.8008402252156483,0.7357179414107831
15,0.641101062297821,0.7650554776191711,0.7307692307692307,0.6698695950583391,0.8587876179826954,0.8056914690334102
20,0.556156575679779,0.5748765468597412,0.8269230769230769,0.7927247769389156,0.9005608372888925,0.8852191059605116
25,0.42944520711898804,0.49833419919013977,0.8351648351648352,0.8263555250514756,0.9397587562759466,0.9000523814540171
30,0.5451173186302185,0.46266013383865356,0.8296703296703297,0.8462594371997255,0.90342126334205,0.9091680577308867
35,0.470336377620697,0.4249350428581238,0.8241758241758241,0.8627316403568978,0.9284537716774268,0.9209571005062835
40,0.2863597571849823,0.44285228848457336,0.9258241758241759,0.8668496911461908,0.9505859268678963,0.9138262773828962
45,0.7421584129333496,0.45461422204971313,0.7802197802197802,0.8627316403568978,0.8444568873309879,0.9245535898485615
50,0.548390805721283,0.428284227848053,0.8434065934065934,0.8641043239533288,0.9063225268371711,0.9205446017725745
