epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,1.0502610206604004,1.242575764656067,0.3506849315068493,0.2822802197802198,0.5272188452669556,0.48564410439621253
5,0.8541676998138428,0.8483418822288513,0.33972602739726027,0.36126373626373626,0.5534965734144096,0.5625806171224714
10,0.8735381960868835,0.8281118869781494,0.3561643835616438,0.3907967032967033,0.5604121792597462,0.5851868231835751
15,0.8549879193305969,0.7486413717269897,0.3698630136986301,0.42857142857142855,0.5673462608139235,0.6188639201175498
20,0.8632895350456238,0.7502760887145996,0.3698630136986301,0.4423076923076923,0.5746683491791549,0.6115782158513434
25,0.8501973152160645,0.7237193584442139,0.4054794520547945,0.4684065934065934,0.5942718425938112,0.6193759726025554
30,0.8299525380134583,0.6631782650947571,0.40273972602739727,0.5,0.5942147822683423,0.641138741174425
35,0.8254441618919373,0.68934565782547,0.4410958904109589,0.507554945054945,0.6149027254124968,0.6496963838287001
40,0.8409156203269958,0.673946738243103,0.4684931506849315,0.5315934065934066,0.6240036171545865,0.6680249933858465
45,0.8449608683586121,0.6764994263648987,0.4712328767123288,0.5185439560439561,0.6251538864790674,0.6510987691863004
