epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,1.040989637374878,1.210041880607605,0.2967032967032967,0.25669183253260125,0.5165485568198012,0.4916124070024014
5,0.954132616519928,0.9289516806602478,0.28846153846153844,0.33493479752916955,0.5187168471324441,0.5455304682159187
10,0.9670401811599731,0.894148588180542,0.2802197802197802,0.3877831159917639,0.5223072125525628,0.5763751031249229
15,0.9573788046836853,0.8797425627708435,0.2967032967032967,0.40905971173644473,0.5298263154490526,0.5877714701444787
20,0.9832346439361572,0.8038672804832458,0.31868131868131866,0.4248455730954015,0.530581672457094,0.6087919073728041
25,0.9509241580963135,0.7687416076660156,0.32967032967032966,0.455044612216884,0.542612137730216,0.6276698529725097
30,0.9530493021011353,0.7943183183670044,0.3324175824175824,0.4447494852436513,0.5462601299058838,0.6038654304757738
35,0.9750837683677673,0.7836487293243408,0.3434065934065934,0.46190803019903914,0.5624341130641677,0.6205519761382934
40,0.976713240146637,0.743367612361908,0.3489010989010989,0.4708304735758408,0.5551709890001411,0.6294256989120323
45,0.933591902256012,0.7495173811912537,0.3598901098901099,0.4921070693205216,0.5561134417352125,0.6355270759872038
