epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
0,2.933077335357666,2.4173758029937744,0.2857142857142857,0.21688400823610157,0.5278147733108656,0.5101669078503116
2,1.799472451210022,1.2923471927642822,0.2857142857142857,0.28894989704873025,0.5750255333982013,0.5456902145099606
4,1.463814616203308,1.0889909267425537,0.31043956043956045,0.3466026080988332,0.5812458559508877,0.5545869716064189
6,1.2948670387268066,1.0678235292434692,0.3324175824175824,0.3507206588881263,0.5922397972511424,0.5575012847789582
8,1.194146990776062,0.9938772916793823,0.3241758241758242,0.3617021276595745,0.5820967623268123,0.5657825879675243
10,1.1494437456130981,0.9389665722846985,0.34065934065934067,0.37886067261496226,0.5969461306629126,0.5748354123567596
12,1.145442247390747,0.96319580078125,0.32142857142857145,0.38503774879890185,0.5743791487240852,0.5801314169109456
14,1.0869377851486206,0.9358346462249756,0.3434065934065934,0.39190116678105696,0.5843224393974377,0.5894506948385647
16,0.9768884778022766,0.9002186059951782,0.37362637362637363,0.3925875085792725,0.6061197610147628,0.5910776390488993
18,1.020953893661499,0.9204855561256409,0.3626373626373626,0.3829787234042553,0.5896909924511513,0.5751669265727782
20,1.0265040397644043,0.8725297451019287,0.3434065934065934,0.4056280027453672,0.5856624300017572,0.5934048855930346
22,0.964249849319458,0.8894528746604919,0.36813186813186816,0.41455044612216885,0.5730934370614138,0.5988570001047551
24,0.9567786455154419,0.9220120310783386,0.36813186813186816,0.40905971173644473,0.5857189381867004,0.5911399100469819
26,0.9420028924942017,0.911414384841919,0.3708791208791209,0.40150995195607414,0.5932788594487437,0.5911296774722139
28,0.8852947354316711,0.8268458247184753,0.3791208791208791,0.4056280027453672,0.5850227059061046,0.595122463504915
30,0.9088357090950012,0.8597956299781799,0.37362637362637363,0.4124914207275223,0.5877229793676024,0.5993981047514657
32,0.9026080369949341,0.8829860687255859,0.3873626373626374,0.40905971173644473,0.5833058132862723,0.5999071805615658
34,0.8775064945220947,0.8137251138687134,0.3956043956043956,0.43719972546328073,0.5878302287967927,0.6167576099212367
36,0.8525940179824829,0.80291348695755,0.3873626373626374,0.4344543582704187,0.5835473748826117,0.6110849884930365
38,0.8479190468788147,0.8506979942321777,0.36538461538461536,0.40905971173644473,0.5827775762429314,0.608197861526047
40,0.8447731733322144,0.8487690091133118,0.38186813186813184,0.40425531914893614,0.58580357494022,0.5943542654950806
42,0.8191402554512024,0.8415281772613525,0.3956043956043956,0.42072752230610844,0.5973900241601973,0.5990285224357516
44,0.8549690842628479,0.8368842005729675,0.39285714285714285,0.4179821551132464,0.6026521118077912,0.6076445184527244
46,0.840364933013916,0.8467751145362854,0.41208791208791207,0.394646533973919,0.6124582053218696,0.5839862542941638
48,0.8524565100669861,0.8145993947982788,0.3901098901098901,0.4303363074811256,0.5949573239976245,0.6141586074612297
