epoch,Loss ( Val ),Loss ( Train ),Accuracy ( Val ),Accuracy ( Train ),ROC ( Val ),ROC ( Train )
5,1.298506736755371,1.2267980575561523,0.3901098901098901,0.3870967741935484,0.5891618363378645,0.5855136595561725
10,1.3047088384628296,1.2096413373947144,0.3956043956043956,0.38846945778997943,0.582122743804681,0.5951755599231809
15,21.40785789489746,1.2007677555084229,0.2967032967032967,0.4200411805078929,0.5195966425699393,0.6172835287726613
20,1.194455623626709,1.1776618957519531,0.43131868131868134,0.44406314344543585,0.6238327670237661,0.6358842000319669
25,1.202062964439392,1.1769556999206543,0.41483516483516486,0.4426904598490048,0.5907415553388882,0.6376824966335355
30,0.8628696203231812,1.1180475950241089,0.6813186813186813,0.5010295126973233,0.8041522191635413,0.6861346924276583
35,0.5326414704322815,0.633466362953186,0.7912087912087912,0.75840768702814,0.8756198111420516,0.8623856896495727
40,0.5492100715637207,0.446836918592453,0.7857142857142857,0.8442004118050789,0.8862750711092374,0.9112694235800247
45,0.42049476504325867,0.3984965980052948,0.8516483516483516,0.8730267673301304,0.9234781758588054,0.9218228210333002
50,0.3908941149711609,0.4114035964012146,0.8873626373626373,0.8641043239533288,0.9222903283162369,0.9246916473231752
